TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
6,81E+13;0.6376;11.462;97.844
6,81E+13;0.0351;11.211;99.557
6,81E+13;10.843;15.379;99.725
6,81E+13;0.4328;12.995;103.509
6,81E+13;0.6867;15.475;104.132
6,81E+13;-0.2116;14.588;101.964
6,81E+13;0.8831;16.181;104.120
6,81E+13;0.1022;14.385;100.204
6,81E+13;0.2232;15.475;106.144
6,81E+13;0.2136;13.810;96.035
6,81E+13;-0.0835;14.660;103.929
6,81E+13;0.4376;12.624;95.844
6,81E+13;0.1130;11.510;102.491
6,81E+13;0.6148;11.019;95.125
6,81E+13;0.0842;0.8564;97.269
6,81E+13;0.2483;0.8384;98.108
6,81E+13;0.6699;0.3305;93.400
6,81E+13;0.3837;0.2778;101.940
6,81E+13;0.6280;0.0024;87.771
6,81E+13;0.1106;-0.4959;100.443
6,81E+13;0.3537;-11.535;93.712
6,81E+13;0.3238;-14.673;92.550
6,81E+13;0.1477;-18.721;93.185
6,81E+13;0.4483;-18.278;91.640
6,81E+13;-0.4811;-18.769;103.222
6,81E+13;0.0806;-15.176;98.994
6,81E+13;0.0926;-16.038;96.694
6,81E+13;0.3825;-19.703;94.718
6,81E+13;0.2759;-19.548;99.305
6,81E+13;-0.1985;-13.379;105.198
6,81E+13;0.2603;-17.116;99.245
6,81E+13;0.1333;-21.536;96.059
6,81E+13;0.5142;-23.045;94.646
6,81E+13;0.0387;-20.266;91.244
6,81E+13;0.5525;-12.313;104.767
6,81E+13;0.2711;-24.315;92.490
6,81E+13;0.4244;-15.559;97.880
6,81E+13;0.8987;-17.368;88.681
6,81E+13;0.9119;-17.440;96.754
6,81E+13;0.5765;-19.703;97.257
6,81E+13;0.4411;-0.8037;92.825
6,81E+13;0.4687;-0.6396;110.037
6,81E+13;0.4316;-10.469;85.962
6,81E+13;0.3789;0.7294;125.021
6,81E+13;-0.2595;-0.9151;82.237
6,81E+13;0.6424;0.8288;119.032
6,81E+13;0.4088;0.2623;98.179
6,81E+13;0.0159;0.6240;107.474
6,81E+13;0.5477;0.7294;91.987
6,81E+13;0.1297;0.6994;110.301
6,81E+13;0.2315;0.8049;91.628
6,81E+13;-0.1481;11.079;102.767
6,81E+13;0.0950;0.7977;90.322
6,81E+13;0.1441;0.9019;113.079
6,81E+13;0.4220;12.456;88.526
6,81E+13;0.2315;0.9893;103.258
6,81E+13;0.5837;10.456;94.574
6,81E+13;0.8148;11.211;102.839
6,81E+13;0.8903;11.594;100.467
6,81E+13;0.7094;0.5952;97.425
6,81E+13;0.7717;13.187;105.306
6,81E+13;0.7669;0.8635;95.329
6,81E+13;-0.0116;0.9546;107.534
6,81E+13;0.4867;10.911;96.922
6,81E+13;0.7070;0.8228;108.528
6,81E+13;0.5981;0.7414;97.341
6,81E+13;0.2555;0.6503;104.659
6,81E+13;-0.1314;0.8779;100.731
6,81E+13;-0.0188;0.5282;101.150
6,81E+13;0.3178;0.7653;108.396
6,81E+13;0.3214;0.4874;98.575
6,81E+13;0.4699;0.5210;101.833
6,81E+13;0.2806;0.4479;89.771
6,81E+13;-0.0104;0.1904;99.066
6,81E+13;0.2962;0.5066;98.167
6,81E+13;0.6448;0.1305;98.599
6,81E+13;0.8124;-0.0240;94.910
6,81E+13;0.7082;-0.3917;97.365
6,81E+13;0.2687;-0.0659;99.677
6,81E+13;-0.0643;-0.3234;92.358
6,81E+13;0.9155;0.1557;99.748
6,81E+13;0.5717;-0.5151;103.569
6,81E+13;0.3609;-0.1102;103.126
6,81E+13;0.3262;-0.2300;96.012
6,81E+13;0.0483;0.0778;105.641
6,81E+13;0.3944;0.1724;98.455
6,81E+13;0.0159;0.2335;109.774
6,81E+13;0.2842;0.4000;97.616
6,81E+13;0.6400;0.4491;100.479
6,81E+13;0.5082;0.3485;98.754
6,81E+13;0.6927;0.3281;103.366
6,81E+13;0.6567;0.3509;95.640
6,81E+13;0.2926;0.6743;101.809
6,81E+13;-0.0415;0.3808;97.569
6,81E+13;0.2543;0.5449;100.503
6,81E+13;0.1908;0.3293;100.455
6,81E+13;0.1477;0.7066;104.599
6,81E+13;0.3322;0.5533;97.664
6,81E+13;0.4795;0.8192;98.539
6,81E+13;0.4507;0.4491;94.586
6,81E+13;0.7597;0.6839;101.198
6,81E+13;0.7586;0.6587;96.000
6,81E+13;0.5741;0.5234;98.515
6,81E+13;0.6196;0.6252;97.329
6,81E+13;0.8544;0.4707;94.167
6,81E+13;0.5981;0.6084;100.910
6,81E+13;0.4675;0.1952;98.419
6,81E+13;0.9813;0.6551;101.689
6,81E+13;0.5849;0.3377;98.515
