TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
6,81E+13;-0.0303;-0.0413;-0.0105
6,81E+13;-0.0324;0.0269;-0.0153
6,81E+13;-0.0122;-0.0120;-0.0019
6,81E+13;0.0102;-0.0072;-0.0126
6,81E+13;0.0139;0.0131;-0.0142
6,81E+13;0.0373;0.0274;-0.0137
6,81E+13;0.0432;-0.0871;-0.0158
6,81E+13;0.0293;0.0631;-0.0078
6,81E+13;0.0272;-0.0753;-0.0243
6,81E+13;0.0410;-0.0013;-0.0099
6,81E+13;0.0064;-0.0391;-0.0248
6,81E+13;0.0309;-0.0397;-0.0126
6,81E+13;-0.0032;-0.0104;-0.0195
6,81E+13;0.0059;-0.0514;-0.0110
6,81E+13;-0.0293;0.0269;-0.0099
6,81E+13;-0.0399;-0.0540;-0.0163
6,81E+13;-0.0378;0.0194;0.0002
6,81E+13;-0.0713;-0.0237;-0.0142
6,81E+13;-0.0436;0.0067;-0.0019
6,81E+13;-0.1049;0.0423;-0.0057
6,81E+13;-0.0804;-0.0381;-0.0110
6,81E+13;-0.1070;0.0844;0.0060
6,81E+13;-0.1065;-0.0626;-0.0163
6,81E+13;-0.1437;0.1084;-0.0099
6,81E+13;-0.1294;0.0104;-0.0222
6,81E+13;-0.0766;-0.1451;-0.0153
6,81E+13;-0.1043;0.0407;-0.0009
6,81E+13;-0.0894;-0.0343;-0.0126
6,81E+13;-0.0559;0.0051;-0.0131
6,81E+13;-0.0820;-0.0301;-0.0318
6,81E+13;-0.0458;-0.0082;-0.0051
6,81E+13;-0.0367;-0.0647;-0.0073
6,81E+13;-0.0245;-0.0397;-0.0216
6,81E+13;-0.0032;-0.0705;-0.0142
6,81E+13;-0.0399;0.0109;-0.0035
6,81E+13;0.0251;-0.0306;-0.0046
6,81E+13;-0.0058;-0.0152;-0.0147
6,81E+13;0.0304;0.0024;0.0029
6,81E+13;-0.0095;0.0173;-0.0051
6,81E+13;0.0118;0.0296;-0.0041
6,81E+13;0.0235;-0.0088;-0.0105
6,81E+13;-0.0106;0.0541;-0.0051
6,81E+13;0.0469;0.0147;-0.0009
6,81E+13;0.0112;-0.0034;-0.0195
6,81E+13;0.0906;0.0551;0.0002
6,81E+13;0.0389;-0.0013;-0.0073
6,81E+13;0.1007;0.0120;-0.0089
6,81E+13;0.0772;0.0583;0.0023
6,81E+13;0.1268;-0.0498;-0.0078
6,81E+13;0.0607;0.0392;-0.0142
6,81E+13;0.1225;-0.0247;-0.0115
6,81E+13;0.0863;-0.0524;-0.0216
6,81E+13;0.0890;-0.0200;-0.0169
6,81E+13;0.0357;-0.0056;-0.0211
6,81E+13;0.0751;-0.0663;-0.0126
6,81E+13;0.0373;0.0365;-0.0099
6,81E+13;0.0315;-0.0540;-0.0099
6,81E+13;0.0357;0.0274;0.0060
6,81E+13;0.0133;-0.0072;0.0034
6,81E+13;0.0149;0.0605;0.0162
6,81E+13;-0.0090;-0.0040;0.0092
6,81E+13;0.0064;0.0360;0.0108
6,81E+13;-0.0415;0.0530;-0.0046
6,81E+13;-0.0101;0.0274;-0.0019
6,81E+13;-0.0426;0.0668;-0.0003
6,81E+13;-0.0282;0.0360;-0.0046
6,81E+13;-0.0351;0.0179;-0.0062
6,81E+13;-0.0319;0.0402;-0.0158
6,81E+13;-0.0266;0.0264;-0.0179
6,81E+13;-0.0319;-0.0200;-0.0190
6,81E+13;-0.0016;0.0115;-0.0009
6,81E+13;-0.0090;-0.0226;-0.0078
6,81E+13;0.0000;0.0626;-0.0025
6,81E+13;-0.0133;-0.0242;-0.0147
6,81E+13;-0.0048;0.0013;-0.0067
6,81E+13;-0.0117;0.0051;-0.0014
6,81E+13;-0.0239;0.0088;-0.0014
6,81E+13;-0.0138;0.0189;-0.0009
6,81E+13;-0.0255;0.0445;-0.0099
6,81E+13;-0.0080;0.0344;-0.0121
6,81E+13;-0.0383;0.0061;-0.0078
6,81E+13;-0.0223;0.0141;-0.0078
6,81E+13;-0.0277;0.0317;-0.0115
6,81E+13;-0.0122;0.0179;-0.0094
6,81E+13;-0.0223;-0.0034;-0.0254
6,81E+13;-0.0053;-0.0200;-0.0222
6,81E+13;-0.0218;0.0253;-0.0328
